"Utility.ID","Plant.Code","Prime.Mover","Energy.Source.1","Technology","Nameplate.Capacity","Operating.Year.avg","Operating.Year.max","Operating.Year.min","Net.Generation..Megawatthours.","cap_fac"
11135,4251,"GT","NG","Natural Gas Fired Combustion Turbine",15.9,2002,2002,2002,139,0.000997961000545648
11135,7034,"HY","WAT","Conventional Hydroelectric",6.6,1986,1986,1986,12820,0.221737927217379
11161,10206,"GT","NG","Natural Gas Fired Combustion Turbine",10.4,1989,1989,1989,71176,0.781260976466456
11161,10206,"IC","DFO","Petroleum Liquids",1.7,1986,1986,1986,8,0.0005372011818426
11169,54562,"ST","BLQ","Wood/Wood Waste Biomass",55,1957.66666666667,1966,1949,217402.64,0.451230053964301
11204,58256,"BA","MWH","Batteries",1.8,2012,2012,2012,266,0.0168696093353628
11204,58256,"PV","SUN","Solar Photovoltaic",1,2012,2012,2012,1340,0.15296803652968
11204,7593,"HY","WAT","Conventional Hydroelectric",8,1988,1988,1988,0,0
11204,7789,"HY","WAT","Conventional Hydroelectric",15.6,1996.33333333333,2011,1989,0,0
11208,391,"HY","WAT","Conventional Hydroelectric",3.2,1925,1925,1925,1484,0.052939497716895
11208,392,"HY","WAT","Conventional Hydroelectric",56,1972,1972,1972,0,0
11208,392,"PS","WAT","Hydroelectric Pumped Storage",1626,1976.16666666667,1978,1973,378922,0.0266026667115986
11208,393,"HY","WAT","Conventional Hydroelectric",37.5,1952,1952,1952,37040,0.112754946727549
11208,394,"HY","WAT","Conventional Hydroelectric",1.6,1908.5,1909,1908,1613,0.115082762557078
11208,396,"HY","WAT","Conventional Hydroelectric",11,1971,1971,1971,31469,0.326577418015774
11208,397,"HY","WAT","Conventional Hydroelectric",2,1921,1921,1921,0,0
11208,398,"HY","WAT","Conventional Hydroelectric",5.6,1927,1927,1927,6770,0.138005544683627
11208,399,"CA","NG","Natural Gas Fired Combined Cycle",75,1949,1949,1949,20784,0.031634703196347
11208,399,"CT","NG","Natural Gas Fired Combined Cycle",170.6,1994,1994,1994,58044,0.0388395509804236
11208,399,"GT","NG","Natural Gas Fired Combustion Turbine",302.5,2002,2002,2002,56586,0.0213540133589947
11208,400,"CA","NG","Natural Gas Fired Combined Cycle",264.3,2005,2005,2005,905562,0.39112621087494
11208,400,"CT","NG","Natural Gas Fired Combined Cycle",365.6,2005,2005,2005,1511137,0.471838686390296
11208,400,"GT","NG","Natural Gas Fired Combustion Turbine",649.2,2013,2013,2013,421359,0.074091716675529
11208,400,"ST","NG","Natural Gas Steam Turbine",460,1962.5,1963,1962,530052,0.131539606908874
11208,401,"HY","WAT","Conventional Hydroelectric",37.5,1952,1952,1952,21160,0.06441400304414
11208,402,"HY","WAT","Conventional Hydroelectric",3.2,1958,1958,1958,3424,0.122146118721461
11208,403,"HY","WAT","Conventional Hydroelectric",5.6,1922,1922,1922,682,0.0139024787997391
11208,404,"CA","NG","Natural Gas Fired Combined Cycle",118.9,2016,2016,2016,276097,0.265079246210506
